,Name,Address,Website,Contact,Email,VC,VC_Phone,REG,REG_Phone
0,Rajiv Gandhi University,Rono Hills P.O. Doimukh   Itanagar    Arunachal Pradesh - 791112 ,http://www.rgu.ac.in,0360-2277253   ,,Prof. Tamo Mibang,0360-2277568,Dr. Rachob Taba ,0360-2277253 
1,Assam University,P.O. Assam University Silchar     Assam - 788011 ,http://www.assamuniversity.nic.in,   03842-270802 ,,Somnath Dasgupta ,,Prof. Niranjan Roy,03842-270368
2,Tezpur University,P.O. -  Napaam   Tezpur Dist. Sonitpur    Assam - 784028 ,http://www.tezu.ernet.in,3712 267007/8/9   3712-267005/6,admn@tezu.ernet.in,Prof. Mihir K. Chaudhuri,03712-267003,Dr. Biren Das,03712-267004   Extn.3101
3,University of Hyderabad,Hyderabad P.O. Central University Campus Hyderabad    Telangana- 500046 ,http://www.uohyd.ac.in,040-23132101   23132102   23132103   ,,Prof. E. Haribabu,(040)-23132000  23010121,Shri M. Sudhakar,23132100 / 23010245
4,Maulana Azad National Urdu University,Gachibowli Hyderabad     Telangana- 500032 ,http://www.manuu.ac.in,040-23006612-15   18004252958,,Prof. Mohammad Miyan,040-23006601,Prof. S. M. Rahmatullah ,040-23006121
5,English & Foreign Languages University,O.U. Campus Hyderabad     Telangana- 500 007 ,http://www.efluniversity.ac.in,040-27098141   27097530   27098225   27098392   040-27098402,,Prof. Sunaina Singh,,Prof. Al Raja Moosvi,27098225
6,Jamia Millia Islamia,Jamia Nagar New Delhi     Delhi- 110025 ,http://www.jmi.nic.in,+91(11)26981717  26984617  26984658  26988044  26987183   +91(11)2698 0229,,Prof Nazma Akhtar,011-26985180,Prof. Shahid Ashraf (Offg.),91(011) 26980337
7,University of Delhi,Delhi      Delhi- 110007 ,http://www.du.ac.in,   ,,Prof. Yogesh Kumar Tyagi,27667011   27667190   27667049,Prof. Tarun Kumar Das (I/c),011-27667853   27667853 Ext. 1116   27666350
8,Jawaharlal Nehru University,New Mehrauli Road   New Delhi     Delhi- 110067 ,http://www.jnu.ac.in,011-26742575   26742676   26741557    011-26741586,,Prof. Sudhir Kumar SOPORY, 91-11-26704001   91-11-26741500,Dr. Sandeep Chatterjee, 91-11-26704005
9,Indira Gandhi National Open University,Maidan Garhi New Delhi     Delhi- 110068  ,http://www.ignou.ac.in,91-011-29532098   29571402   29571401   ,,Prof. Nageshwar Rao,(011)29532707/29532484 ,Dr. V. B. Negi,91-011-29532098  29571402
10,The Indira Gandhi National Tribal University,Kapil Dhara Road   Mekal Sadan  Amarkantak   Dist-Anuppur     Madhya Pradesh -  ,http://igntu.nic.in,(07629) 280801   280802   280803   280810   280811   07629-269432,recruit.igntu@gmail.com, Prof. T. V. Kattimani,07629-269711,Dr. M. Rajendran,07629 269701
11,Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,Post Box No.16  Panchtila Umri Village Arvi Road Wardha Mumbai    Maharashtra - 442001 ,,91-7152-232957   91-7152-242814,de.mba@hindivishwa.org  mgahvmbabba@gmail.com,Prof. Girishwar MisraProf Rajneesh Kumar Shukla,07152-230907,Shri Sanjay B. Gowai (I/c),91-7152-230902
12,Mizoram University,Post Box No. 190   Aizwal     Mizoram - 796009 ,http://www.mzu.edu.in,   ,registrar@mzu.edu.in,Prof. R. Lalthantluanga,0389-2330650/2330651,Sh. C. Zothankhuma   (IDAS),0389-2330654  2330642
13,North Eastern Hill University,NEHU Campus Shillong     Meghalaya - 793022 ,http://www.nehu.ac.in,   ,,Prof. P. Shukla,0364)-2721001/2550101,Sh. L. Cajee (I/c),(0364)-2550067
14,Manipur University,Imphal        Manipur- 795003 ,http://www.manipuruniv.ac.in,+91-385-2435833   2435276   2435100   +91-385-2435145 ,info@manipuruniv.ac.in,Prof. H.Nandakumar Sarma),0385-2435765   2435143,Prof. N. Lokendra Singh,0385-2435125
15,Central Agricultural University,Imphal      Manipur- 795004 ,http://www.cau.org.in,0364-2570047   ,,Prof. S.N. Puri,0385-2415933,Dr. P. M. Pillai,0385-2410644
16,Pondicherry University,Bharat Ratna Dr. B R Ambedkar Administrative Building R. Venkataraman Nagar   Kalapet   Puducherry    Puducherry- 605014 ,http://www.pondiuni.edu.in,0413 - 2654262   ,registrar@pondiuni.edu.in,Prof.(Mrs) Anisa Basheer Khan,0413-2655175  2654201,Dr. M Ramachandran,  0413-2655179  2654202
17,Sikkim University,6th Mile   Samdur P.O. Tadong   Gangtok    Sikkim - 737102 ,http://www.sikkimuniversity.in,+91-03592-251438   91-03592-251438,tkkaul@hotmail.com   registrar@cus.ac.in ,Prof.(Dr.) T. B. Subba,03592-251067,Shri T.K. Kaul,03592-251403
18,Tripura University,Suryamaninagar Agartala     Tripura - 799130 ,http://www.tripurauniv.in, +91 381 237 4801/4803    +91 381 237 4802  ,tripurauniversity@rediffmail.com, Prof.V.L.Dharurkar,0381-2379001  9002,Dr. K.B.Jamatia,0381-237 9003
19,Aligarh Muslim University,Aligarh      Uttar Pradesh - 202002 ,http://www.amu.ac.in,0571-2700994   2700173   2700220   2720520   0571-2700087/2700528,,Prof.Tariq Mansoor,0571-2700994   2702167,Mr.Abdul Hamid,0571-2700220  Ext:1121
20,Babasaheb Bhimrao Ambedkar University,Vidya Vihar   Rae Bareily Road   Lucknow    Uttar Pradesh - 226025 ,http://www.bbau.ac.in,91-522-2440822    91-522-2440821  2441888,info@bbau.ac.in,Prof.Sanjay Singh,0522-2440820  821,Prof.R.B.Ram,0522-2440823
21,Banaras Hindu University,Varanasi      Uttar Pradesh - 221005 ,http://www.bhu.ac.in,   ,,Prof. Rakesh Bhatnagar,91-542-2368938   2368339,Prof. K.P. Upadhyay (I/c),0542-2368558   2368558   6701673
22,University of Allahabad,Allahabad      Uttar Pradesh - 211002 ,http://www.allduniv.ac.in/,0532-2461083   ,,Prof. N.R. Farooqi (I/c),0532-2461157/2461089,Prof. B.P. Singh,0532-2461083
